report,title,statement,item,n,v1,v2,v3,v4,line
2025年报,星宇股份2025年年度报告,BS,货币资金,2,2373348984.22,2023579016.90,,,"货币资金 七、1 2,373,348,984.22 2,023,579,016.90"
2025年报,星宇股份2025年年度报告,BS,交易性金融资产,2,1444626056.43,1122398868.30,,,"交易性金融资产 七、2 1,444,626,056.43 1,122,398,868.30"
2025年报,星宇股份2025年年度报告,BS,应收票据,2,2639677888.47,1592286968.91,,,"应收票据 七、4 2,639,677,888.47 1,592,286,968.91"
2025年报,星宇股份2025年年度报告,BS,应收账款,2,4509936010.00,4516645692.60,,,"应收账款 七、5 4,509,936,010.00 4,516,645,692.60"
2025年报,星宇股份2025年年度报告,BS,预付款项,2,31158008.54,42295109.74,,,"预付款项 七、8 31,158,008.54 42,295,109.74"
2025年报,星宇股份2025年年度报告,BS,其他应收款,2,4760037.79,2175738.82,,,"其他应收款 七、9 4,760,037.79 2,175,738.82"
2025年报,星宇股份2025年年度报告,BS,存货,2,2575031933.60,2629252263.74,,,"存货 七、10 2,575,031,933.60 2,629,252,263.74"
2025年报,星宇股份2025年年度报告,BS,其他流动资产,2,19244357.06,28346547.87,,,"其他流动资产 七、13 19,244,357.06 28,346,547.87"
2025年报,星宇股份2025年年度报告,BS,流动资产合计,2,13597783276.11,11956980206.88,,,"流动资产合计 13,597,783,276.11 11,956,980,206.88"
2025年报,星宇股份2025年年度报告,BS,其他权益工具投资,2,656373762.19,353555505.86,,,"其他权益工具投资 七、18 656,373,762.19 353,555,505.86"
2025年报,星宇股份2025年年度报告,BS,其他非流动金融资产,1,70000000.00,,,,"其他非流动金融资产 七、19 70,000,000.00"
2025年报,星宇股份2025年年度报告,BS,固定资产,2,3792994314.70,3540744694.09,,,"固定资产 七、21 3,792,994,314.70 3,540,744,694.09"
2025年报,星宇股份2025年年度报告,BS,在建工程,2,255291891.04,375156095.11,,,"在建工程 七、22 255,291,891.04 375,156,095.11"
2025年报,星宇股份2025年年度报告,BS,使用权资产,2,26647039.66,26974479.99,,,"使用权资产 七、25 26,647,039.66 26,974,479.99"
