report,title,statement,item,n,v1,v2,v3,v4,line
2015年报,2015年年度报告,BS,货币资金,2,"369,804,272.84","298,200,629.75",,,"货币资金 七、1 369,804,272.84 298,200,629.75"
2015年报,2015年年度报告,BS,应收票据,2,"258,114,526.30","231,661,402.89",,,"应收票据 七、4 258,114,526.30 231,661,402.89"
2015年报,2015年年度报告,BS,应收账款,2,"329,224,475.48","294,447,813.29",,,"应收账款 七、5 329,224,475.48 294,447,813.29"
2015年报,2015年年度报告,BS,预付款项,2,"45,695,473.74","37,192,605.53",,,"预付款项 七、6 45,695,473.74 37,192,605.53"
2015年报,2015年年度报告,BS,应收利息,2,"4,670,297.64","4,549,576.01",,,"应收利息 七、7 4,670,297.64 4,549,576.01"
2015年报,2015年年度报告,BS,其他应收款,2,"18,202,470.96","4,219,051.40",,,"其他应收款 七、9 18,202,470.96 4,219,051.40"
2015年报,2015年年度报告,BS,存货,2,"691,209,496.14","497,979,757.94",,,"存货 七、10 691,209,496.14 497,979,757.94"
2015年报,2015年年度报告,BS,一年内到期的非流动资产,1,"250,000,000.00",,,,"一年内到期的非流动资产 250,000,000.00"
2015年报,2015年年度报告,BS,其他流动资产,2,"730,462,200.19","677,824,484.13",,,"其他流动资产 七、13 730,462,200.19 677,824,484.13"
2015年报,2015年年度报告,BS,流动资产合计,2,"2,447,383,213.29","2,296,075,320.94",,,"流动资产合计 2,447,383,213.29 2,296,075,320.94"
2015年报,2015年年度报告,BS,固定资产,2,"669,090,390.03","610,906,881.50",,,"固定资产 七、19 669,090,390.03 610,906,881.50"
2015年报,2015年年度报告,BS,在建工程,2,"94,686,922.11","66,976,765.62",,,"在建工程 七、20 94,686,922.11 66,976,765.62"
2015年报,2015年年度报告,BS,无形资产,2,"131,287,402.66","136,911,909.49",,,"无形资产 七、25 131,287,402.66 136,911,909.49"
2015年报,2015年年度报告,BS,商誉,2,"27,980,177.33","27,980,177.33",,,"商誉 七、27 27,980,177.33 27,980,177.33"
2015年报,2015年年度报告,BS,长期待摊费用,2,"27,730,567.69","15,099,621.37",,,"长期待摊费用 七、28 27,730,567.69 15,099,621.37"
2015年报,2015年年度报告,BS,递延所得税资产,2,"8,643,342.63","6,684,438.66",,,"递延所得税资产 七、29 8,643,342.63 6,684,438.66"
2015年报,2015年年度报告,BS,其他非流动资产,1,553.43,,,,其他非流动资产 553.43
2015年报,2015年年度报告,BS,非流动资产合计,2,"959,419,355.88","864,559,793.97",,,"非流动资产合计 959,419,355.88 864,559,793.97"
2015年报,2015年年度报告,BS,资产总计,2,"3,406,802,569.17","3,160,635,114.91",,,"资产总计 3,406,802,569.17 3,160,635,114.91"
2015年报,2015年年度报告,BS,短期借款,2,"127,437,728.07","105,212,478.77",,,"短期借款 七、30 127,437,728.07 105,212,478.77"
2015年报,2015年年度报告,BS,应付票据,2,"481,659,647.00","492,434,264.67",,,"应付票据 七、33 481,659,647.00 492,434,264.67"
2015年报,2015年年度报告,BS,应付账款,2,"549,507,620.23","441,656,059.26",,,"应付账款 七、34 549,507,620.23 441,656,059.26"
2015年报,2015年年度报告,BS,预收款项,2,"1,824,098.47","3,826,856.41",,,"预收款项 七、35 1,824,098.47 3,826,856.41"
2015年报,2015年年度报告,BS,应付职工薪酬,2,"27,505,017.74","22,208,044.74",,,"应付职工薪酬 七、36 27,505,017.74 22,208,044.74"
2015年报,2015年年度报告,BS,应交税费,2,"31,796,826.50","17,155,760.91",,,"应交税费 七、37 31,796,826.50 17,155,760.91"
2015年报,2015年年度报告,BS,应付利息,2,"103,839.57","193,072.99",,,"应付利息 七、38 103,839.57 193,072.99"
2015年报,2015年年度报告,BS,其他应付款,2,"1,894,462.03","1,978,850.18",,,"其他应付款 七、40 1,894,462.03 1,978,850.18"
2015年报,2015年年度报告,BS,其他流动负债,2,"14,490,612.40","16,209,459.30",,,"其他流动负债 七、43 14,490,612.40 16,209,459.30"
2015年报,2015年年度报告,BS,流动负债合计,2,"1,236,219,852.01","1,100,874,847.23",,,"流动负债合计 1,236,219,852.01 1,100,874,847.23"
2015年报,2015年年度报告,BS,长期应付款,2,"4,377,263.66","6,626,142.66",,,"长期应付款 七、46 4,377,263.66 6,626,142.66"
2015年报,2015年年度报告,BS,专项应付款,2,"48,244,800.00","46,098,819.27",,,"专项应付款 七、48 48,244,800.00 46,098,819.27"
2015年报,2015年年度报告,BS,预计负债,2,"12,144,461.73","10,734,596.72",,,"预计负债 七、49 12,144,461.73 10,734,596.72"
2015年报,2015年年度报告,BS,递延所得税负债,2,"264,954.71","12,462.04",,,"递延所得税负债 264,954.71 12,462.04"
2015年报,2015年年度报告,BS,非流动负债合计,2,"65,031,480.10","63,472,020.69",,,"非流动负债合计 65,031,480.10 63,472,020.69"
2015年报,2015年年度报告,BS,负债合计,2,"1,301,251,332.11","1,164,346,867.92",,,"负债合计 1,301,251,332.11 1,164,346,867.92"
2015年报,2015年年度报告,BS,股本,2,"239,650,000.00","239,677,300.00",,,"股本 七、51 239,650,000.00 239,677,300.00"
2015年报,2015年年度报告,BS,资本公积,2,"1,217,540,709.77","1,216,602,496.70",,,"资本公积 七、53 1,217,540,709.77 1,216,602,496.70"
2015年报,2015年年度报告,BS,其他综合收益,2,"-373,150.41","-1,656,681.36",,,"其他综合收益 七、55 -373,150.41 -1,656,681.36"
2015年报,2015年年度报告,BS,盈余公积,2,"144,432,400.85","115,347,969.97",,,"盈余公积 七、57 144,432,400.85 115,347,969.97"
2015年报,2015年年度报告,BS,未分配利润,2,"493,698,499.97","416,225,295.69",,,"未分配利润 七、58 493,698,499.97 416,225,295.69"
