dataset,n,digit,observed,p_observed,p_benford,expected,diff,z,excess_ratio
A 本期/期末金额（主口径）,1400,1,402,0.287143,0.301030,421.44,-0.013887,-1.133,0.9539
A 本期/期末金额（主口径）,1400,2,250,0.178571,0.176091,246.53,+0.002480,+0.244,1.0141
A 本期/期末金额（主口径）,1400,3,198,0.141429,0.124939,174.91,+0.016490,+1.866,1.1320
A 本期/期末金额（主口径）,1400,4,146,0.104286,0.096910,135.67,+0.007376,+0.933,1.0761
A 本期/期末金额（主口径）,1400,5,101,0.072143,0.079181,110.85,-0.007038,-0.975,0.9111
A 本期/期末金额（主口径）,1400,6,90,0.064286,0.066947,93.73,-0.002661,-0.398,0.9603
A 本期/期末金额（主口径）,1400,7,88,0.062857,0.057992,81.19,+0.004865,+0.779,1.0839
A 本期/期末金额（主口径）,1400,8,64,0.045714,0.051153,71.61,-0.005438,-0.924,0.8937
A 本期/期末金额（主口径）,1400,9,61,0.043571,0.045757,64.06,-0.002186,-0.391,0.9522
B 全部分项金额（含上期可比数）,2715,1,795,0.292818,0.301030,817.30,-0.008212,-0.933,0.9727
B 全部分项金额（含上期可比数）,2715,2,475,0.174954,0.176091,478.09,-0.001137,-0.156,0.9935
B 全部分项金额（含上期可比数）,2715,3,380,0.139963,0.124939,339.21,+0.015024,+2.368,1.1203
B 全部分项金额（含上期可比数）,2715,4,283,0.104236,0.096910,263.11,+0.007326,+1.290,1.0756
B 全部分项金额（含上期可比数）,2715,5,194,0.071455,0.079181,214.98,-0.007726,-1.491,0.9024
B 全部分项金额（含上期可比数）,2715,6,177,0.065193,0.066947,181.76,-0.001753,-0.366,0.9738
B 全部分项金额（含上期可比数）,2715,7,167,0.061510,0.057992,157.45,+0.003518,+0.784,1.0607
B 全部分项金额（含上期可比数）,2715,8,129,0.047514,0.051153,138.88,-0.003639,-0.861,0.9289
B 全部分项金额（含上期可比数）,2715,9,115,0.042357,0.045757,124.23,-0.003400,-0.848,0.9257
C 本期金额 绝对值≥10,1377,1,397,0.288308,0.301030,414.52,-0.012722,-1.029,0.9577
C 本期金额 绝对值≥10,1377,2,244,0.177197,0.176091,242.48,+0.001106,+0.108,1.0063
C 本期金额 绝对值≥10,1377,3,192,0.139434,0.124939,172.04,+0.014495,+1.627,1.1160
C 本期金额 绝对值≥10,1377,4,142,0.103123,0.096910,133.45,+0.006213,+0.779,1.0641
C 本期金额 绝对值≥10,1377,5,99,0.071895,0.079181,109.03,-0.007286,-1.001,0.9080
C 本期金额 绝对值≥10,1377,6,90,0.065359,0.066947,92.19,-0.001587,-0.236,0.9763
C 本期金额 绝对值≥10,1377,7,88,0.063907,0.057992,79.85,+0.005915,+0.939,1.1020
C 本期金额 绝对值≥10,1377,8,64,0.046478,0.051153,70.44,-0.004675,-0.787,0.9086
C 本期金额 绝对值≥10,1377,9,61,0.044299,0.045757,63.01,-0.001458,-0.259,0.9681
D 全部金额去重后的唯一值,1434,1,399,0.278243,0.301030,431.68,-0.022787,-1.881,0.9243
D 全部金额去重后的唯一值,1434,2,251,0.175035,0.176091,252.51,-0.001056,-0.105,0.9940
D 全部金额去重后的唯一值,1434,3,211,0.147141,0.124939,179.16,+0.022202,+2.543,1.1777
D 全部金额去重后的唯一值,1434,4,155,0.108089,0.096910,138.97,+0.011179,+1.431,1.1154
D 全部金额去重后的唯一值,1434,5,105,0.073222,0.079181,113.55,-0.005959,-0.836,0.9247
D 全部金额去重后的唯一值,1434,6,97,0.067643,0.066947,96.00,+0.000696,+0.105,1.0104
D 全部金额去重后的唯一值,1434,7,92,0.064156,0.057992,83.16,+0.006164,+0.999,1.1063
D 全部金额去重后的唯一值,1434,8,68,0.047420,0.051153,73.35,-0.003733,-0.642,0.9270
D 全部金额去重后的唯一值,1434,9,56,0.039052,0.045757,65.62,-0.006706,-1.215,0.8534
E 资产负债表（本期列）,572,1,172,0.300699,0.301030,172.19,-0.000331,-0.017,0.9989
E 资产负债表（本期列）,572,2,116,0.202797,0.176091,100.72,+0.026706,+1.677,1.1517
E 资产负债表（本期列）,572,3,76,0.132867,0.124939,71.46,+0.007928,+0.573,1.0635
E 资产负债表（本期列）,572,4,68,0.118881,0.096910,55.43,+0.021971,+1.776,1.2267
E 资产负债表（本期列）,572,5,39,0.068182,0.079181,45.29,-0.010999,-0.974,0.8611
E 资产负债表（本期列）,572,6,31,0.054196,0.066947,38.29,-0.012751,-1.220,0.8095
E 资产负债表（本期列）,572,7,33,0.057692,0.057992,33.17,-0.000300,-0.031,0.9948
E 资产负债表（本期列）,572,8,20,0.034965,0.051153,29.26,-0.016187,-1.757,0.6835
E 资产负债表（本期列）,572,9,17,0.029720,0.045757,26.17,-0.016037,-1.836,0.6495
E 利润表（本期列）,441,1,141,0.319728,0.301030,132.75,+0.018698,+0.856,1.0621
E 利润表（本期列）,441,2,70,0.158730,0.176091,77.66,-0.017361,-0.957,0.9014
E 利润表（本期列）,441,3,62,0.140590,0.124939,55.10,+0.015651,+0.994,1.1253
E 利润表（本期列）,441,4,42,0.095238,0.096910,42.74,-0.001672,-0.119,0.9827
E 利润表（本期列）,441,5,27,0.061224,0.079181,34.92,-0.017957,-1.397,0.7732
